股票代码,股票名称,持仓比,累计买入
600004,白云机场,0.09420278766926678,0.0065379069643727505
600201,生物股份,0.12610463543186431,0.007107007642430706
600258,首旅酒店,0.07719732706338829,0.009699017634135644
600323,瀚蓝环境,0.095641090118367,0.005072106883139591
600380,健康元,0.03452129470024628,0.006918701416064082
600548,深高速,0.037972807371161606,0.00507544659792252
600885,宏发股份,0.11961447762813622,0.01812185385209037
600971,恒源煤电,0.053167816106988446,0.005026123710343166
601019,山东出版,0.021436950105411103,0.005648350901850551
601100,恒立液压,0.08815236281179138,0.006061527210884354
603098,森特股份,0.02985479656588279,0.00740628166160081
603127,昭衍新药,0.030048793609888498,0.006785122621884526
603157,拉夏贝尔,0.0599243388822099,0.0414576989543571
603180,金牌厨柜,0.025533719245125736,0.00807956095388742
603368,柳药股份,0.02398573265555386,0.005992264065751871
603666,亿嘉和,0.02522768976625444,0.006830639882148308
603866,桃李面包,0.02343118527238189,0.009283656236587013
